label,wire,this_end,far_end,colour,gauge
BRAKE >TAIL-2,BRAKE,SP_BRAKE-1,TAIL-2,GN,16 AWG
BRAKE >SP_BRAKE-1,BRAKE,TAIL-2,SP_BRAKE-1,GN,16 AWG
BRK_FEED >SP_BRK_FEED-1,BRK_FEED,PDM-12,SP_BRK_FEED-1,BG,16 AWG
BRK_FEED >PDM-12,BRK_FEED,SP_BRK_FEED-1,PDM-12,BG,16 AWG
BRK_FEED_F >SP_BRK_FEED-1,BRK_FEED_F,FBRK-1,SP_BRK_FEED-1,BG,16 AWG
BRK_FEED_F >FBRK-1,BRK_FEED_F,SP_BRK_FEED-1,FBRK-1,BG,16 AWG
BRK_FEED_R >SP_BRK_FEED-1,BRK_FEED_R,RBRK-1,SP_BRK_FEED-1,BG,16 AWG
BRK_FEED_R >RBRK-1,BRK_FEED_R,SP_BRK_FEED-1,RBRK-1,BG,16 AWG
BRK_OUT_F >SP_BRAKE-1,BRK_OUT_F,FBRK-2,SP_BRAKE-1,GN,16 AWG
BRK_OUT_F >FBRK-2,BRK_OUT_F,SP_BRAKE-1,FBRK-2,GN,16 AWG
BRK_OUT_R >SP_BRAKE-1,BRK_OUT_R,RBRK-2,SP_BRAKE-1,GN,16 AWG
BRK_OUT_R >RBRK-2,BRK_OUT_R,SP_BRAKE-1,RBRK-2,GN,16 AWG
CAP_GND >SP_GND-1,CAP_GND,CAP_L-2,SP_GND-1,BK,16 AWG
CAP_GND >CAP_L-2,CAP_GND,SP_GND-1,CAP_L-2,BK,16 AWG
COIL_L >SP_YR-1,COIL_L,COIL_L-1,SP_YR-1,YE,16 AWG
COIL_L >COIL_L-1,COIL_L,SP_YR-1,COIL_L-1,YE,16 AWG
COIL_PWR >PDM-4,COIL_PWR,K_COIL-1,PDM-4,YE,16 AWG
COIL_PWR >K_COIL-1,COIL_PWR,PDM-4,K_COIL-1,YE,16 AWG
COIL_R >SP_YR-1,COIL_R,COIL_R-1,SP_YR-1,YE,16 AWG
COIL_R >COIL_R-1,COIL_R,SP_YR-1,COIL_R-1,YE,16 AWG
DIM_COMMON >SP_RLY-1,DIM_COMMON,LH-1,SP_RLY-1,GN,16 AWG
DIM_COMMON >LH-1,DIM_COMMON,SP_RLY-1,LH-1,GN,16 AWG
FLASH_GND >SP_GND-1,FLASH_GND,FLASHER-3,SP_GND-1,BK,16 AWG
FLASH_GND >FLASHER-3,FLASH_GND,SP_GND-1,FLASHER-3,BK,16 AWG
FLASH_IN >PDM-13,FLASH_IN,FLASHER-1,PDM-13,BG,16 AWG
FLASH_IN >FLASHER-1,FLASH_IN,PDM-13,FLASHER-1,BG,16 AWG
FLASH_OUT >LH-4,FLASH_OUT,FLASHER-2,LH-4,BU,16 AWG
FLASH_OUT >FLASHER-2,FLASH_OUT,LH-4,FLASHER-2,BU,16 AWG
GND_MAIN >SP_GND-1/1,GND_MAIN,GND-4/4,SP_GND-1/1,BK/BK,16 AWG
