branch_id,terminal,type,pin_count,cavity,colour,gauge,mates_to,mate_class,model_connector,recorded_on,status,notes
B04.3,,4P rect (large),4,1,Br,,Shindengen SH221-12 regulator/rectifier,component,RR,2026-08-29,superseded,"cavity rule: latch-up. NO LATCH on this housing - orientation taken from the notched keyway on the top (wide) face, viewed from the mating face. Keyway-up and labels-upright happen to agree here - but that is COINCIDENCE, not a second reference: B06.5's marks read UPSIDE DOWN with its keyway up. The keyway is the datum; the marks are not. See the orientation warning in measurements/README. Moulded marks on the face, verbatim: a diamond-hashtag, a '5', and a circled T. NONE are cavity numbers - a 4-way housing has no cavity 5; the 5 is a mould-tool cavity, the circled T a maker's mark, the diamond a resin stamp. Kept as the part-identification lead for part selection. Connector: 4-pin rectangular housing, 4 flat female spade terminals, make/series unidentified. HOUSING: transparent white. BLADE WIDTH: NOT MEASURED - eyeballed at ~1/4 in (6.35 mm) and compared by eye against the R/R half, which also reads ~1/4 in. This is an estimate, not a measurement, and 1/4 in vs 6.3 mm metric is exactly the distinction an eyeball cannot make. Needs calipers on the blade before any part is ordered. Top left. The DC output - rings 0.0 Ohm to the ignition switch brown 2026-08-28, so charging returns through the ignition switch. W_RR_OUT is wrong in the models on both colour (Br not W) and destination. ** SUPERSEDED 2026-08-29 ** - the DC-output reading in this row is overturned. It rested on the 4-pins-no-spare argument, and the R/R half is populated on only THREE cavities. The 0.0 Ohm continuity to the ignition brown STANDS; what falls is the inference that the R/R drives it."
B04.3,,4P rect (large),4,2,BK/Y,,Shindengen SH221-12 regulator/rectifier,component,RR,2026-08-29,provisional,"cavity rule: latch-up. NO LATCH on this housing - orientation taken from the notched keyway on the top (wide) face, viewed from the mating face. Keyway-up and labels-upright happen to agree here - but that is COINCIDENCE, not a second reference: B06.5's marks read UPSIDE DOWN with its keyway up. The keyway is the datum; the marks are not. See the orientation warning in measurements/README. Top right. BLACK base, thin yellow tracer. GROUND NET B - open to the B04.1 chassis ring, continuous with B00.2 B10.5 B04.5."
B04.3,,4P rect (large),4,3,Y,,Shindengen SH221-12 regulator/rectifier,component,RR,2026-08-29,provisional,"cavity rule: latch-up. NO LATCH on this housing - orientation taken from the notched keyway on the top (wide) face, viewed from the mating face. Keyway-up and labels-upright happen to agree here - but that is COINCIDENCE, not a second reference: B06.5's marks read UPSIDE DOWN with its keyway up. The keyway is the datum; the marks are not. See the orientation warning in measurements/README. Bottom left. One of the two alternator AC phase legs. ** MAPPED 2026-08-29: this cavity is B05.1.1. ** Read directly at the bench, closing the gap left by the 2026-08-28 reading, which established that each yellow bullet rings to A slot but not WHICH slot. Position is the only thing separating the two yellows; colour and gauge cannot. Branch IDs are the harness's physical tape tags B05.1.1/B05.1.2; the lengths log's B05.1/B05.2 rows were superseded 2026-08-29 to match. Electrically the two AC legs are interchangeable into a single-phase bridge, so this mapping is completeness, not correctness - but it is unrecoverable once the loom is cut."
B04.3,,4P rect (large),4,4,Y,,Shindengen SH221-12 regulator/rectifier,component,RR,2026-08-29,provisional,"cavity rule: latch-up. NO LATCH on this housing - orientation taken from the notched keyway on the top (wide) face, viewed from the mating face. Keyway-up and labels-upright happen to agree here - but that is COINCIDENCE, not a second reference: B06.5's marks read UPSIDE DOWN with its keyway up. The keyway is the datum; the marks are not. See the orientation warning in measurements/README. Bottom right. The other alternator AC phase leg. ** MAPPED 2026-08-29: this cavity is B05.1.2. ** Read directly at the bench. Branch IDs are the harness's physical tape tags B05.1.1/B05.1.2; the lengths log's B05.1/B05.2 rows were superseded 2026-08-29 to match. Electrically the two AC legs are interchangeable into a single-phase bridge, so this mapping is completeness, not correctness - but it is unrecoverable once the loom is cut."
B04.3,,4P rect (large),4,1,Br,,Shindengen SH221-12 regulator/rectifier (cavity EMPTY on the R/R half),open,RR,2026-08-29,provisional,"cavity rule: latch-up, keyway on the top wide face, viewed from the mating face. Top left. ** THE R/R HALF HAS NO WIRE IN THIS CAVITY ** - confirmed at the bench 2026-08-29 with the mirror-image orientation explicitly accounted for; the R/R half is populated 2x Y + BK/Y only. So the harness brown lands on an EMPTY mate and the R/R does not drive it. The 2026-08-28 conclusion that brown IS the DC output is OVERTURNED - it rested on there being no spare pin, and there is one. The harness-side facts are unchanged: brown is continuous 0.0 Ohm with the switched-ignition net. DC OUTPUT CANDIDATE: a W/R wire leaves the R/R to a MALE BULLET, outside this connector. W/R is the known main power path (B04.6 <-> B06.4, 0.1 Ohm) feeding the starter relay and fuse box, which would make the models' W_RR_OUT (white, RR->SOL) broadly CORRECT rather than wrong on both counts. NOT YET PROVEN - ring the R/R's W/R bullet to B04.6/B06.4 to close it. STOCK, not a substitute - confirmed at the bench 2026-08-29. The R/R carries FOUR leads, in physical order as they exit the body: yellow, black, yellow, W/R. Three enter the 4P (2x Y + BK); the W/R does not - it leaves to a MALE BULLET outside this connector. So the 'no spare' argument holds after all, but on the COMPONENT'S LEADS rather than the connector's cavities: 2 AC in + ground + one remaining lead on a single-phase unit means W/R IS the DC output. OPEN QUESTION worth recording: if this is stock, why does the harness run a brown wire into a cavity the R/R never populates? Likely a housing shared across model variants, or a sense lead unused here. Not a fault, and not resolved. BLADE WIDTH MEASURED 2026-08-29: 5.97 mm across the flat of the MALE blade on the R/R half (the male is the right reference - a rebuild terminal has to fit it). This does NOT confirm 1/4 in: 6.35 mm nominal is 0.38 mm away, outside blade tolerance, so this is likely a 6.0 mm-class terminal and NOT a Faston 250. The earlier ~1/4 in figure was an eyeball estimate and is withdrawn. One reading on one aged blade - measure a second blade, and the harness-side receptacle, before ordering. DEPTH (type 4P rect): 24.5 mm, harness-side body, mating face to back of body. Subtract from length_mm for cut length. ** COMPONENT IDENTIFIED 2026-08-29: SHINDENGEN SH221-12. ** Named at the bench off the unit itself. This supersedes the moulded marks as the part-identification lead - the connector can now be sourced from the R/R's documentation rather than from a mould stamp. TO DO: pull the SH221-12 pinout and confirm on paper that the fourth lead is DC output and that only three pins are populated in the 4P. That would close the W/R question from the component side, independently of the harness ring-out. SECOND BLADE 2026-08-29: 5.96 mm, agreeing with the 5.97 mm first reading. FEMALE RECEPTACLE BORE: 6.76 mm. Profile is the same 'B' section as a 1/4 in Faston, plus a retention tang for the housing. ** THE TWO READINGS ARE SUSPECT, NOT CONFIRMED. ** A 6.76 mm bore on a 6.35 mm blade is ~0.4 mm clearance, which is normal; on a 5.96 mm blade it is ~0.8 mm of slop, which is not. Together with the matching 'B' profile, the bore points at a 6.35 mm / 250-series terminal. LIKELY MEASUREMENT ERROR: Faston blades are chamfered at the tip, so a caliper near the tip reads narrow - and reads narrow CONSISTENTLY, which is how two agreeing readings can both be wrong. Two readings agreeing is not two independent readings if both used the same wrong datum. TO CLOSE: measure across the WIDEST part of the blade body, back near the shoulder, not the tip. ~6.3 mm there means 250-series and the terminal can be sourced. DO NOT ORDER on 5.96. ** RESOLVED 2026-08-29: THE BLADE IS GENUINELY 5.96 mm. ** It is PARALLEL - 5.96 the full length, no taper - so the chamfered-tip explanation above is WRONG and is withdrawn. Two readings at 5.96/5.97 stand as measured. The 6.76 mm figure is most likely the HOUSING cavity rather than the terminal's spring grip, which removes the apparent slop. So this is NOT a 6.35 mm/250-series blade despite the matching 'B' profile. ** AND IT NO LONGER BLOCKS ANYTHING: the SH221-12 is NOT being reused. ** An SH775 series regulator (Polaris takeoff, ordered 19 Aug 2026 per docs/part-selection.md) is on hand, and it brings its own 3-pin AC + 2-pin DC Shindengen-spec connectors. This connector is now ARCHIVAL RECORD OF THE OLD HARNESS, not a part to source. Kept because the measurement is cheap to keep and impossible to retake once the loom is cut."
B04.6,,female bullet,1,,W/R,,Shindengen SH221-12 R/R - flying DC output lead (male bullet),component,RR,2026-08-29,provisional,"** ESTABLISHED BY ELIMINATION 2026-08-29. ** The harness contains exactly TWO W/R terminals in total - B04.6 (FEMALE) and B06.4 (MALE), verified by sweeping the colour column and every note in harness-lengths.csv; the only other white-base wire, B09, is W/Bl. The R/R's DC lead is a MALE bullet, so it can mate only a female, and B04.6 is the only female W/R terminal that exists. The one loophole - that the lead might mate a CHILD harness rather than the main loom - is closed by B04.6 and B04.3 sharing a breakout point at B04+200: the R/R's two connections leave the harness together. The SH221-12's fourth lead leaves the body as a MALE BULLET carrying W/R and is the DC output (2 AC in + ground + one lead remaining on a single-phase unit). Four independent agreements point it here: colour W/R both sides; gender male-to-female; B04.6 breaks out at B04+200, the SAME point as B04.3 the R/R 4P; and both run 60 mm, consistent with reaching one component. It also completes the circuit: R/R -> B04.6 -> the W/R net (B04.6 <-> B06.4, 0.1 Ohm) -> B06.4's double-female node -> starter relay + fuse box. ** THIS RESTORES THE MODEL. ** W_RR_OUT is drawn white, RR->SOL; B06.4's node feeds the starter relay. So the models were right and the 2026-08-28 'brown is the DC output' reading was inverted - see the overturned-conclusion note in measurements/README. This does NOT rest on continuity, which could not have settled it either way: two unmated halves prove nothing and two mated halves prove only that they are touching. It rests on the candidate list being complete, which is a property of the branch tagging - if an untagged W/R female bullet is ever found, this conclusion reopens. status stays 'provisional' per the README rule: status tracks the MEASUREMENT, not the identification, and B04.6's length has been measured once. The identification is recorded here, not by promoting status."
B06.4,,male bullet,1,,W/R,,fuse-box pigtail double-female bullet node (DISCONNECTED),component,MF,2026-08-29,provisional,"SINGLE MALE BULLET on the harness side - confirmed 2026-08-29 now that the starter and fuse-block cables are off. The harness contributes exactly ONE wire here. THE 3-WAY NODE IS NOT IN THE HARNESS. It was a DOUBLE-FEMALE BULLET on the FUSE-BOX PIGTAIL, recorded 2026-08-28 WHILE STILL MATED: this bullet, plus a W/R leg to the STARTER RELAY, plus a LARGER-GAUGE W/R into the fuse-box pigtail (the 20A MAIN's output). The R/R's DC output joins the same net at B04.6. ** THAT OBSERVATION CANNOT BE REPEATED. ** The pigtail is now disconnected, so the node is only knowable from the 2026-08-28 record. Unlike the six double-female bullets whose slot contents were lost at teardown, this one was caught in time - which is the whole argument for recording mates while things are still plugged together. ** EVIDENCE OF MELTING / CORROSION ** at this joint, and the mechanism is now precisely located: the gauge step is at the PIGTAIL's double-female, where the fuse's larger W/R meets this smaller harness W/R, on the highest-current circuit on the bike. DESIGN CONSEQUENCE FOR THE REBUILD: the rebuild replaces the fuse box and its pigtail with a blade block, so this particular joint disappears on its own. What must NOT be reproduced is the TOPOLOGY - charging output, main fuse output and starter-relay feed all meeting at one bullet junction with a conductor-size step in it. Gauge here is eyeballed, not measured; size the rebuild from the load."
B06.5,,4P rect (small),4,1,Bl,,fuse box (fixed pigtail),component,FUSE_4P,2026-08-29,provisional,"cavity rule: latch-up, keyway UP, viewed from the mating face. Cavity numbers are HARNESS-SIDE. MARKS: a '4' and a small flower logo, BOTH READING UPSIDE DOWN with the keyway up - so they are mould marks (tool cavity + maker's mark), NOT cavity numbers, and NOT an orientation reference. A lone digit on a 4-way housing cannot be a cavity number. MATE: fuse-box FIXED PIGTAIL, recorded 2026-08-28 while still mated and re-read 2026-08-29 with it disconnected. Male spades on the fuse-box side, so the harness half carries the female terminals. ** BOTH HALVES READ, ALL FOUR CAVITIES POPULATED ON EACH, AND THE MIRROR CHECKS OUT 4-of-4. ** Fuse-box half, viewed from ITS mating face with keyway up: TL Br/W, TR Bl, BL R/Bl, BR Bl/W. Mated face to face the halves mirror left-right and keep top/bottom, so harness TL meets fuse-box TR, and so on. Every pair matches on colour: Bl-Bl, Br/W-Br/W, Bl/W-Bl/W, R/Bl-R/Bl. No empty cavity, no cross-connection. This is the check that inverted the R/R conclusion at B04.3, run here and PASSED - and it independently confirms the mirror convention is being applied correctly. Blue Net 2 - the FUSED HEADLIGHT SUPPLY. 0.1 Ohm to B02.2 at the left-bar junction and OPEN to the brake circuit, so the fuse box feeds the dimmer common here. Fuse box holder 2, printed HEAD. ** A DIFFERENT AND SMALLER CONNECTOR THAN B04.3 - NOT THE SAME PART. ** Noted at the bench 2026-08-29 with both in hand. Typed '4P rect (small)' against B04.3's '4P rect (large)' precisely so the two cannot share a type constant: DEPTH AND TERMINAL WIDTH FOR THIS CONNECTOR ARE NOT MEASURED, and B04.3's 24.5 mm depth / 5.96 mm blade MUST NOT be applied here. Their mould marks differ too - diamond, '5' and a circled T on B04.3; a '4' and a flower logo here - so they are different series and probably different makers. LOW PRIORITY: the rebuild replaces the fuse box and its pigtail with a blade block, so this connector is archival record like B04.3 rather than a part to source."
B06.5,,4P rect (small),4,2,Br/W,,fuse box (fixed pigtail),component,FUSE_4P,2026-08-29,provisional,"cavity rule: latch-up, keyway UP, viewed from the mating face. Cavity numbers are HARNESS-SIDE. MARKS: a '4' and a small flower logo, BOTH READING UPSIDE DOWN with the keyway up - so they are mould marks (tool cavity + maker's mark), NOT cavity numbers, and NOT an orientation reference. A lone digit on a 4-way housing cannot be a cavity number. MATE: fuse-box FIXED PIGTAIL, recorded 2026-08-28 while still mated and re-read 2026-08-29 with it disconnected. Male spades on the fuse-box side, so the harness half carries the female terminals. Continuous to B01.2 (RH 4P) and B00.11 with the RH 4P disconnected - the Br/W net terminates at the fuse box on this cavity. Fuse box holder 3, printed TAIL. Which terminal of that holder is the INPUT is still unsettled - see FUSE_TAIL in the models; this connector cannot answer it. ** A DIFFERENT AND SMALLER CONNECTOR THAN B04.3 - NOT THE SAME PART. ** Noted at the bench 2026-08-29 with both in hand. Typed '4P rect (small)' against B04.3's '4P rect (large)' precisely so the two cannot share a type constant: DEPTH AND TERMINAL WIDTH FOR THIS CONNECTOR ARE NOT MEASURED, and B04.3's 24.5 mm depth / 5.96 mm blade MUST NOT be applied here. Their mould marks differ too - diamond, '5' and a circled T on B04.3; a '4' and a flower logo here - so they are different series and probably different makers. LOW PRIORITY: the rebuild replaces the fuse box and its pigtail with a blade block, so this connector is archival record like B04.3 rather than a part to source."
B06.5,,4P rect (small),4,3,Bl/W,,fuse box (fixed pigtail),component,FUSE_4P,2026-08-29,provisional,"cavity rule: latch-up, keyway UP, viewed from the mating face. Cavity numbers are HARNESS-SIDE. MARKS: a '4' and a small flower logo, BOTH READING UPSIDE DOWN with the keyway up - so they are mould marks (tool cavity + maker's mark), NOT cavity numbers, and NOT an orientation reference. A lone digit on a 4-way housing cannot be a cavity number. MATE: fuse-box FIXED PIGTAIL, recorded 2026-08-28 while still mated and re-read 2026-08-29 with it disconnected. Male spades on the fuse-box side, so the harness half carries the female terminals. Feeds fuse box holder 2 (HEAD). WHAT FEEDS Bl/W IS STILL OPEN - it runs between this box and the right-bar branch (B01.1) and has never been rung. NOT the same wire as B00.8/B09's W/Bl: this is BLUE base with a white tracer. Base colour first. ** A DIFFERENT AND SMALLER CONNECTOR THAN B04.3 - NOT THE SAME PART. ** Noted at the bench 2026-08-29 with both in hand. Typed '4P rect (small)' against B04.3's '4P rect (large)' precisely so the two cannot share a type constant: DEPTH AND TERMINAL WIDTH FOR THIS CONNECTOR ARE NOT MEASURED, and B04.3's 24.5 mm depth / 5.96 mm blade MUST NOT be applied here. Their mould marks differ too - diamond, '5' and a circled T on B04.3; a '4' and a flower logo here - so they are different series and probably different makers. LOW PRIORITY: the rebuild replaces the fuse box and its pigtail with a blade block, so this connector is archival record like B04.3 rather than a part to source."
