branch_id,from,to,model_cables,wire_count,colour,gauge,breakout_ref,breakout_mm,length_mm,method,measured_on,status,notes
B00.1,,,,6,,,DATUM,0,100,tape,2026-08-28,provisional,6-pin RECTANGULAR connector. Wires as read: green; grey; brown; LIGHT GREEN; red; BK/Y (black base). Candidate INSTRUMENT / INDICATOR CLUSTER - green=IND_L (GN); grey=IND_R (GY); light green=IND_N; brown=W_IND_N_FEED (BN); BK/Y=ground. LG recorded as LG not GN - the models flatten light green and green both to GN
B00.2,,,,1,BK/Y,,DATUM,0,100,tape,2026-08-28,provisional,Male bullet whose crimp holds a SECOND wire leaving the back - a shared-crimp splice; same pattern as B04.2 and B10.5. Described at the bench as a common ground collection with several splices downstream. BLACK base - the branch-ground colour; see the ground architecture note in measurements/README
B00.3,,,,4,,,DATUM,0,100,tape,2026-08-28,provisional,4-pin RECTANGULAR connector. Wires as read: brown; white; red; R/Bl (RED base with BLUE tracer). Candidate IGNITION SWITCH - the switch table in docs/kz305-b1-wiring.md gives Battery (W) . Ignition (Br) . Tail 1 (R/BK) . Tail 2 (R). Three of four match; the fourth is R/Bl here and R/BK in the doc. R/BK vs R/Bl is exactly the kind of distinction the 44-year-old scan cannot carry - possible transcription error in the doc; do NOT correct either without a meter
B00.4,,,,2,Gy,,DATUM,0,100,tape,2026-08-28,provisional,TWO grey wires crimped into ONE female bullet - a 2-to-1 shared-crimp splice. Grey is the right-turn circuit (SIG_R); two greys merging suits front signal plus dash indicator
B00.5,,,,1,Br,,DATUM,0,100,tape,2026-08-28,provisional,DOUBLE-FEMALE BULLET - a 1-to-2 distribution node. Brown is the switched-ignition feed; a fan-out point for it
B00.6,,,,1,Bl,,DATUM,0,100,tape,2026-08-28,provisional,Male bullet. Blue. Candidates: dimmer common (the switch table lists the dimmer as R/BK . Bl . R/Y) or the brake circuit (blue in the cable index). Compare B02.2 - also a lone blue at the left-bar junction. Open
B00.7,,,,1,Y/BK,>18,DATUM,0,240,tape,2026-08-28,provisional,Longer run (240mm) to a DOUBLE-FEMALE BULLET. Larger gauge than the common wire. YELLOW base with black tracer - the third yellow-base wire found (with B04.1 ring terminal and B08) and again heavier and again at a distribution node. See the ground architecture note
B00.8,,,,1,W/Bl,,DATUM,0,240,tape,2026-08-28,provisional,Longer run (240mm) to a DOUBLE-FEMALE BULLET. WHITE base with blue tracer - same colour as B09 (male bullet at 1060mm on the trunk); possibly the same net seen at both ends. Not in the cable index
B00.9,,,,1,R/Y,,DATUM,0,100,tape,2026-08-28,provisional,Male bullet MATED TO THE HEADLIGHT PIGTAIL. RED base with yellow tracer - NOT Y/R. R/Y is a dimmer beam output in the switch table; with B00.12 (R/BK) this is one of the two headlight filament feeds. mate_class = subharness (headlight pigtail)
B00.10,,,,2,Gn,,DATUM,0,100,tape,2026-08-28,provisional,TWO green wires crimped into ONE female bullet - a 2-to-1 shared-crimp splice. Green is the left-turn circuit (SIG_L); mirrors B00.4 on the grey side
